Abbr,State,REGION,County,POPEST2012,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,Median,MaleLifeEx2010,FemaleLifeEx2010,Uninsured2014,obesity,YPLS,DaysPoorHealth,DaysPoorPhys,DaysPoorMental,LBirthWeight,FoodEnvIndex,PercPhysicallyInactive,PercAccessExercise,PercDaibetes,PercMam,GradRate,PercSomeCollege,PercUnemployed,PercChildrenPov,PercNoEmoSupport,PercSingleParentHouseholds,ViolentCrimeRate,InjuryDeathRate
IL,Illinois,Midwest,Alexander,7748,60.487983,35.29983,1.881525,0.194222,30699,71.3,77.3,10.5,32.4,11063.05,11063.05,11063.05,11063.05,11063.05,11063.05,11063.05,11063.05,11063.05,11063.05,11063.05,11063.05,11063.05,11063.05,11063.05,11063.05,11063.05,11063.05
IL,Illinois,Midwest,Bond,17644,88.907024,5.971409,3.078568,0.377082,49886,75.6,80.1,9.2,30.5,6537.53,6537.53,6537.53,6537.53,6537.53,6537.53,6537.53,6537.53,6537.53,6537.53,6537.53,6537.53,6537.53,6537.53,6537.53,6537.53,6537.53,6537.53
IL,Illinois,Midwest,Boone,53940,75.246008,1.801902,20.247392,1.231423,58792,77.4,80.9,10.7,34.1,5320.52,5320.52,5320.52,5320.52,5320.52,5320.52,5320.52,5320.52,5320.52,5320.52,5320.52,5320.52,5320.52,5320.52,5320.52,5320.52,5320.52,5320.52
IL,Illinois,Midwest,Brown,6914,74.830618,18.379703,5.795012,0.230647,50225,75.7,79.1,7,31.5,4529.86,4529.86,4529.86,4529.86,4529.86,4529.86,4529.86,4529.86,4529.86,4529.86,4529.86,4529.86,4529.86,4529.86,4529.86,4529.86,4529.86,4529.86
IL,Illinois,Midwest,Bureau,34323,89.979416,0.546058,7.704843,0.628967,52138,76.1,81.3,9.6,29.9,7069.76,7069.76,7069.76,7069.76,7069.76,7069.76,7069.76,7069.76,7069.76,7069.76,7069.76,7069.76,7069.76,7069.76,7069.76,7069.76,7069.76,7069.76
IL,Illinois,Midwest,Calhoun,5014,98.27078,0.117901,0.786009,0.235803,49689,74.9,79.2,8.6,30.4,5110.06,5110.06,5110.06,5110.06,5110.06,5110.06,5110.06,5110.06,5110.06,5110.06,5110.06,5110.06,5110.06,5110.06,5110.06,5110.06,5110.06,5110.06
IL,Illinois,Midwest,Carroll,15011,94.859297,0.792877,2.84006,0.344447,50750,75.5,80.7,9.8,31.6,8295.22,8295.22,8295.22,8295.22,8295.22,8295.22,8295.22,8295.22,8295.22,8295.22,8295.22,8295.22,8295.22,8295.22,8295.22,8295.22,8295.22,8295.22
IL,Illinois,Midwest,Cass,13338,79.387187,2.778185,16.793725,0.315203,46289,75.2,79.9,12,28.8,7061.61,7061.61,7061.61,7061.61,7061.61,7061.61,7061.61,7061.61,7061.61,7061.61,7061.61,7061.61,7061.61,7061.61,7061.61,7061.61,7061.61,7061.61
IL,Illinois,Midwest,Champaign,203276,70.852045,12.210502,5.274989,8.891442,47966,77.7,81.8,9.4,26.6,5479.96,5479.96,5479.96,5479.96,5479.96,5479.96,5479.96,5479.96,5479.96,5479.96,5479.96,5479.96,5479.96,5479.96,5479.96,5479.96,5479.96,5479.96
IL,Illinois,Midwest,Christian,34638,95.778736,1.413793,1.353448,0.474138,46870,75.3,79.8,8.6,33.4,7627.64,7627.64,7627.64,7627.64,7627.64,7627.64,7627.64,7627.64,7627.64,7627.64,7627.64,7627.64,7627.64,7627.64,7627.64,7627.64,7627.64,7627.64
IL,Illinois,Midwest,Clark,16209,97.490052,0.293848,1.052954,0.330579,50645,74.7,78.8,8.5,33.1,7706.85,7706.85,7706.85,7706.85,7706.85,7706.85,7706.85,7706.85,7706.85,7706.85,7706.85,7706.85,7706.85,7706.85,7706.85,7706.85,7706.85,7706.85
IL,Illinois,Midwest,Clay,13766,97.205936,0.311256,1.093015,0.456026,45709,73.4,80.1,8.8,31.5,7717.53,7717.53,7717.53,7717.53,7717.53,7717.53,7717.53,7717.53,7717.53,7717.53,7717.53,7717.53,7717.53,7717.53,7717.53,7717.53,7717.53,7717.53
IL,Illinois,Midwest,Clinton,38061,92.066098,3.503522,2.801758,0.442244,60556,76.4,82.2,7.6,27.8,5911.58,5911.58,5911.58,5911.58,5911.58,5911.58,5911.58,5911.58,5911.58,5911.58,5911.58,5911.58,5911.58,5911.58,5911.58,5911.58,5911.58,5911.58
IL,Illinois,Midwest,Coles,53655,91.567204,3.753272,2.143931,0.970802,41319,73.8,80.1,8.9,27.7,7801.5,7801.5,7801.5,7801.5,7801.5,7801.5,7801.5,7801.5,7801.5,7801.5,7801.5,7801.5,7801.5,7801.5,7801.5,7801.5,7801.5,7801.5
IL,Illinois,Midwest,Cook,5231351,43.859491,24.366837,23.962269,6.138382,55058,75.8,81,14.1,24.9,7267.11,7267.11,7267.11,7267.11,7267.11,7267.11,7267.11,7267.11,7267.11,7267.11,7267.11,7267.11,7267.11,7267.11,7267.11,7267.11,7267.11,7267.11
IL,Illinois,Midwest,Crawford,19600,91.921078,4.657617,1.826714,0.504617,45889,74.4,79.5,8.7,33.9,7205.08,7205.08,7205.08,7205.08,7205.08,7205.08,7205.08,7205.08,7205.08,7205.08,7205.08,7205.08,7205.08,7205.08,7205.08,7205.08,7205.08,7205.08
IL,Illinois,Midwest,Cumberland,10968,97.891021,0.316799,0.678856,0.226285,49567,76.1,80.8,8.2,29.6,6915.67,6915.67,6915.67,6915.67,6915.67,6915.67,6915.67,6915.67,6915.67,6915.67,6915.67,6915.67,6915.67,6915.67,6915.67,6915.67,6915.67,6915.67
IL,Illinois,Midwest,DeKalb,104704,79.711868,6.256181,10.124572,2.282237,56536,77.1,80.7,9.2,27.4,5006.49,5006.49,5006.49,5006.49,5006.49,5006.49,5006.49,5006.49,5006.49,5006.49,5006.49,5006.49,5006.49,5006.49,5006.49,5006.49,5006.49,5006.49
IL,Illinois,Midwest,De Witt,16434,95.736972,0.495139,2.137552,0.35022,55193,75.1,79.7,7.8,32,6807.87,6807.87,6807.87,6807.87,6807.87,6807.87,6807.87,6807.87,6807.87,6807.87,6807.87,6807.87,6807.87,6807.87,6807.87,6807.87,6807.87,6807.87
IL,Illinois,Midwest,Douglas,19853,92.227227,0.265265,6.056056,0.41041,52526,75.7,80.9,12.4,30.8,5371.96,5371.96,5371.96,5371.96,5371.96,5371.96,5371.96,5371.96,5371.96,5371.96,5371.96,5371.96,5371.96,5371.96,5371.96,5371.96,5371.96,5371.96
IL,Illinois,Midwest,DuPage,927987,70.467127,4.474089,13.25148,10.010971,80037,79.6,83.4,8.6,23.9,4377.52,4377.52,4377.52,4377.52,4377.52,4377.52,4377.52,4377.52,4377.52,4377.52,4377.52,4377.52,4377.52,4377.52,4377.52,4377.52,4377.52,4377.52
IL,Illinois,Midwest,Edgar,18191,97.663652,0.339147,1.006675,0.177649,45485,74.5,79.1,9,32.6,7751.15,7751.15,7751.15,7751.15,7751.15,7751.15,7751.15,7751.15,7751.15,7751.15,7751.15,7751.15,7751.15,7751.15,7751.15,7751.15,7751.15,7751.15
IL,Illinois,Midwest,Edwards,6684,97.530129,0.446362,0.877846,0.312454,46894,74.4,80.6,9,31.8,11483.68,11483.68,11483.68,11483.68,11483.68,11483.68,11483.68,11483.68,11483.68,11483.68,11483.68,11483.68,11483.68,11483.68,11483.68,11483.68,11483.68,11483.68
IL,Illinois,Midwest,Effingham,34353,96.825536,0.22195,1.743473,0.429297,52578,76.1,80.8,7.6,29.3,6157.89,6157.89,6157.89,6157.89,6157.89,6157.89,6157.89,6157.89,6157.89,6157.89,6157.89,6157.89,6157.89,6157.89,6157.89,6157.89,6157.89,6157.89
IL,Illinois,Midwest,Fayette,22014,92.976513,4.376694,1.37308,0.212285,41268,75.5,80.5,10.5,37.1,5906.06,5906.06,5906.06,5906.06,5906.06,5906.06,5906.06,5906.06,5906.06,5906.06,5906.06,5906.06,5906.06,5906.06,5906.06,5906.06,5906.06,5906.06
IL,Illinois,Midwest,Ford,14008,96.015908,0.553938,2.08792,0.255664,50877,74.7,79.2,8.9,29.6,7351.03,7351.03,7351.03,7351.03,7351.03,7351.03,7351.03,7351.03,7351.03,7351.03,7351.03,7351.03,7351.03,7351.03,7351.03,7351.03,7351.03,7351.03
IL,Illinois,Midwest,Franklin,39407,96.946488,0.298274,1.200677,0.308385,37758,72.2,78.1,10.1,30.5,10665.05,10665.05,10665.05,10665.05,10665.05,10665.05,10665.05,10665.05,10665.05,10665.05,10665.05,10665.05,10665.05,10665.05,10665.05,10665.05,10665.05,10665.05
IL,Illinois,Midwest,Fulton,36651,92.791821,3.420648,2.417114,0.299442,44435,75.3,79.3,9.8,32.4,7570.22,7570.22,7570.22,7570.22,7570.22,7570.22,7570.22,7570.22,7570.22,7570.22,7570.22,7570.22,7570.22,7570.22,7570.22,7570.22,7570.22,7570.22
IL,Illinois,Midwest,Gallatin,5430,97.101449,0.214707,1.180891,0.089461,41045,72.9,78.7,10.2,31,12293.75,12293.75,12293.75,12293.75,12293.75,12293.75,12293.75,12293.75,12293.75,12293.75,12293.75,12293.75,12293.75,12293.75,12293.75,12293.75,12293.75,12293.75
IL,Illinois,Midwest,Greene,13576,97.342647,0.856978,0.828172,0.115224,39738,74.9,79.2,9.2,29.7,7114.46,7114.46,7114.46,7114.46,7114.46,7114.46,7114.46,7114.46,7114.46,7114.46,7114.46,7114.46,7114.46,7114.46,7114.46,7114.46,7114.46,7114.46
IL,Illinois,Midwest,Grundy,50281,88.939936,1.152548,8.181691,0.6352,70092,75.8,80.3,7.6,31.4,6341.93,6341.93,6341.93,6341.93,6341.93,6341.93,6341.93,6341.93,6341.93,6341.93,6341.93,6341.93,6341.93,6341.93,6341.93,6341.93,6341.93,6341.93
IL,Illinois,Midwest,Hamilton,8370,97.363131,0.36656,1.241575,0.224666,49790,72.9,78.7,9.4,29.3,9087.03,9087.03,9087.03,9087.03,9087.03,9087.03,9087.03,9087.03,9087.03,9087.03,9087.03,9087.03,9087.03,9087.03,9087.03,9087.03,9087.03,9087.03
