Abbr,State,REGION,County,POPEST2012,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,Median,MaleLifeEx2010,FemaleLifeEx2010,Uninsured2014,obesity,YPLS,% Fair/Poor health,POPMaleLifeEx,POPUninsured,POPobesity,POPYPLS,POPDaysPoorHealth,DaysPoorPhys,DaysPoorMental,LBirthWeight,FoodEnvIndex,PercPhysicallyInactive,PercAccessExercise,PercDaibetes,PercMam,GradRate,PercSomeCollege,PercUnemployed,PercChildrenPov,PercNoEmoSupport,PercSingleParentHouseholds,ViolentCrimeRate,InjuryDeathRate
AL,Alabama,Southeast,Cullman,80440,92.739348,1.021068,4.295699,0.42161,39922,72.3,77.7,16.4,34.7,9060.4,21.4,5815812,1319216,2791268,728818576,1721416,3.9,4.4,9.1,8.172499789,31.5,33.51118076,87.20682303,67.16049383,76.9275766,53.54949149,6.404920822,25.6,16.7,27.05466413,27.05466413,79.6
AL,Alabama,Southeast,Dale,50444,71.053312,18.996637,5.613819,1.048735,41940,73.4,78,13.8,36.2,8911.89,21.2,3702589.6,696127.2,1826072.8,449551379.2,1069412.8,4.9,3.9,8.5,6.796519184,31.1,20.68018547,85.38812785,64.35845214,76.56216216,62.78914095,7.281333401,28,17.1,31.64402506,31.64402506,68
AL,Alabama,Southeast,Dallas,42864,28.92743,69.178457,0.705157,0.328617,26602,68.6,75.4,14.3,42.4,12898.83,25.2,2940470.4,612955.2,1817433.6,552895449.1,1080172.8,3.9,3.6,12.8,3.694419786,34.5,45.19853948,75.25773196,62.01923077,71.01290323,43.39298352,13.73064159,59.6,33.4,65.29585285,65.29585285,80.8
AL,Alabama,Southeast,DeKalb,71080,81.560703,1.447074,13.626967,0.233444,36241,72.1,77.3,20.9,30.6,9152.78,20.4,5124868,1485572,2175048,650579602.4,1450032,4.7,4.9,8.7,7.886899646,31.3,40.85699419,87.5,53.72262774,86.01183432,39.00234167,8.4756054,30.4,26.2,33.72852517,33.72852517,78.3
AL,Alabama,Southeast,Elmore,80629,74.964377,19.941238,2.68464,0.648147,54298,72.9,78.4,11.5,30.3,8604,16.7,5877854.1,927233.5,2443058.7,693731916,1346504.3,4.4,4.4,8.8,7.620554952,30.9,38.05404588,83.06737589,66.24293785,74.40302491,56.46871445,6.839602494,20.5,14.9,30.22470102,30.22470102,78.1
AL,Alabama,Southeast,Escambia,37994,61.348156,31.738824,1.873744,0.224432,37077,71,77.7,17,39.4,10537.95,28.1,2697574,645898,1496963.6,400378872.3,1067631.4,5.2,4.7,11,6.379222364,38.7,27.09099924,77.39331027,61.47186147,76.53125,45.7961346,8.921133019,37.6,20.5,50.62900275,50.62900275,104.2
AL,Alabama,Southeast,Etowah,104392,79.277028,15.049315,3.300776,0.62913,39904,70.3,75.3,14.6,34.7,11523.52,22.7,7338757.6,1524123.2,3622402.4,1202963300,2369698.4,5.2,5,8.9,7.088419066,33.8,28.57895241,83.39622642,56.01469238,75.04199855,55.01744699,7.213338619,31,24.7,35.88866363,35.88866363,78.2
AL,Alabama,Southeast,Fayette,16983,86.027493,11.35665,1.183226,0.214605,35664,70.4,75.8,14.6,32.4,11965.06,31.8,1195603.2,247951.8,550249.2,203202614,540059.4,5.6,5.2,9.6,7.703609764,32.1,17.21477873,82.16216216,61.32075472,82.5,38.88450408,7.962129443,27.5,28.2,33.44855092,33.44855092,114.4
AL,Alabama,Southeast,Franklin,31761,79.639793,3.819707,14.85617,0.160863,33881,70.7,74.9,19.9,34.2,10556.16,24,2245502.7,632043.9,1086226.2,335274197.8,762264,5,4.4,8.5,7.70317954,37.4,22.46719657,85.56998557,53.25,85.43300248,45.22355241,8.159378333,31.4,24.3,32.38636364,32.38636364,92.4
AL,Alabama,Southeast,Geneva,26931,84.703247,9.417693,3.434117,0.238895,34425,72.2,78.1,17.2,34.7,9113.55,28.3,1944418.2,463213.2,934505.7,245437015.1,762147.3,4.3,3.4,8.6,8.023975343,34.5,20.05972378,87.01298701,59.3373494,76.57852564,50.47258979,6.936681023,35.8,24.4,43.25101489,43.25101489,88.9
